# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
95            	1.182601e+00	-1.432150e+01	-7.666480e+00	-2.650639e+00	-5.015841e+00
96            	1.176400e+00	-1.424790e+01	-7.672755e+00	-2.659978e+00	-5.012778e+00
97            	1.170207e+00	-1.417546e+01	-7.678771e+00	-2.669179e+00	-5.009592e+00
98            	1.164172e+00	-1.410413e+01	-7.684429e+00	-2.678043e+00	-5.006386e+00
99            	1.158109e+00	-1.403390e+01	-7.690030e+00	-2.686906e+00	-5.003124e+00
100           	1.151850e+00	-1.396473e+01	-7.695865e+00	-2.696082e+00	-4.999783e+00
101           	1.145421e+00	-1.389660e+01	-7.701799e+00	-2.705479e+00	-4.996321e+00
102           	1.138900e+00	-1.382948e+01	-7.707731e+00	-2.714966e+00	-4.992765e+00
103           	1.132352e+00	-1.376334e+01	-7.713561e+00	-2.724428e+00	-4.989133e+00
104           	1.125745e+00	-1.369817e+01	-7.719253e+00	-2.733881e+00	-4.985372e+00
105           	1.118985e+00	-1.363394e+01	-7.724871e+00	-2.743451e+00	-4.981421e+00
106           	1.112119e+00	-1.357063e+01	-7.730494e+00	-2.753128e+00	-4.977366e+00
107           	1.105269e+00	-1.350821e+01	-7.735963e+00	-2.762712e+00	-4.973251e+00
108           	1.098414e+00	-1.344667e+01	-7.741311e+00	-2.772242e+00	-4.969069e+00
109           	1.091521e+00	-1.338598e+01	-7.746527e+00	-2.781743e+00	-4.964784e+00
110           	1.084549e+00	-1.332613e+01	-7.751693e+00	-2.791298e+00	-4.960396e+00
111           	1.077478e+00	-1.326709e+01	-7.756832e+00	-2.800939e+00	-4.955894e+00
112           	1.070301e+00	-1.320885e+01	-7.761921e+00	-2.810660e+00	-4.951262e+00
113           	1.063016e+00	-1.315140e+01	-7.766952e+00	-2.820460e+00	-4.946492e+00
114           	1.055602e+00	-1.309470e+01	-7.771989e+00	-2.830393e+00	-4.941597e+00
115           	1.048172e+00	-1.303876e+01	-7.776918e+00	-2.840287e+00	-4.936631e+00
116           	1.040756e+00	-1.298354e+01	-7.781706e+00	-2.850098e+00	-4.931609e+00
117           	1.033323e+00	-1.292904e+01	-7.786436e+00	-2.859895e+00	-4.926541e+00
118           	1.025924e+00	-1.287524e+01	-7.790984e+00	-2.869568e+00	-4.921416e+00
