# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
111           	-2.974960e+00	-1.540090e+01	-8.092750e+00	-7.021334e+00	-1.071415e+00
112           	-2.980411e+00	-1.533819e+01	-8.094625e+00	-7.027724e+00	-1.066901e+00
113           	-2.985846e+00	-1.527601e+01	-8.096346e+00	-7.034019e+00	-1.062327e+00
114           	-2.991223e+00	-1.521435e+01	-8.097964e+00	-7.040205e+00	-1.057759e+00
115           	-2.996388e+00	-1.515320e+01	-8.099123e+00	-7.045950e+00	-1.053173e+00
116           	-3.001374e+00	-1.509255e+01	-8.099852e+00	-7.051300e+00	-1.048552e+00
117           	-3.006316e+00	-1.503241e+01	-8.100469e+00	-7.056550e+00	-1.043918e+00
118           	-3.011215e+00	-1.497277e+01	-8.101041e+00	-7.061736e+00	-1.039305e+00
119           	-3.016052e+00	-1.491362e+01	-8.101611e+00	-7.066857e+00	-1.034754e+00
120           	-3.020812e+00	-1.485496e+01	-8.102169e+00	-7.071896e+00	-1.030273e+00
121           	-3.025464e+00	-1.479678e+01	-8.102697e+00	-7.076812e+00	-1.025885e+00
122           	-3.030018e+00	-1.473908e+01	-8.103208e+00	-7.081622e+00	-1.021586e+00
123           	-3.034687e+00	-1.468185e+01	-8.103969e+00	-7.086672e+00	-1.017297e+00
124           	-3.039483e+00	-1.462510e+01	-8.104990e+00	-7.091977e+00	-1.013012e+00
125           	-3.044256e+00	-1.456880e+01	-8.106049e+00	-7.097281e+00	-1.008768e+00
126           	-3.048880e+00	-1.451297e+01	-8.106680e+00	-7.102220e+00	-1.004460e+00
127           	-3.053412e+00	-1.445759e+01	-8.107176e+00	-7.107000e+00	-1.000176e+00
128           	-3.057840e+00	-1.440267e+01	-8.107520e+00	-7.111600e+00	-9.959200e-01
129           	-3.062183e+00	-1.434819e+01	-8.107805e+00	-7.116085e+00	-9.917197e-01
130           	-3.066441e+00	-1.429415e+01	-8.108061e+00	-7.120471e+00	-9.875900e-01
131           	-3.070626e+00	-1.424054e+01	-8.108352e+00	-7.124803e+00	-9.835498e-01
132           	-3.074715e+00	-1.418738e+01	-8.108639e+00	-7.129034e+00	-9.796045e-01
133           	-3.078707e+00	-1.413464e+01	-8.108960e+00	-7.133187e+00	-9.757730e-01
134           	-3.082600e+00	-1.408232e+01	-8.109266e+00	-7.137233e+00	-9.720331e-01
135           	-3.086517e+00	-1.403042e+01	-8.109695e+00	-7.141364e+00	-9.683308e-01
136           	-3.090399e+00	-1.397894e+01	-8.110151e+00	-7.145475e+00	-9.646764e-01
137           	-3.094301e+00	-1.392788e+01	-8.110708e+00	-7.149655e+00	-9.610524e-01
138           	-3.098280e+00	-1.387722e+01	-8.111438e+00	-7.153999e+00	-9.574391e-01
139           	-3.102246e+00	-1.382696e+01	-8.112236e+00	-7.158363e+00	-9.538722e-01
140           	-3.106095e+00	-1.377711e+01	-8.112755e+00	-7.162473e+00	-9.502824e-01
141           	-3.109763e+00	-1.372765e+01	-8.112899e+00	-7.166212e+00	-9.466869e-01
142           	-3.113290e+00	-1.367858e+01	-8.112865e+00	-7.169722e+00	-9.431430e-01
143           	-3.116695e+00	-1.362990e+01	-8.112720e+00	-7.173055e+00	-9.396653e-01
144           	-3.119992e+00	-1.358161e+01	-8.112536e+00	-7.176260e+00	-9.362764e-01
145           	-3.123192e+00	-1.353370e+01	-8.112370e+00	-7.179377e+00	-9.329929e-01
146           	-3.126295e+00	-1.348616e+01	-8.112113e+00	-7.182352e+00	-9.297612e-01
147           	-3.129302e+00	-1.343900e+01	-8.111811e+00	-7.185208e+00	-9.266030e-01
148           	-3.132216e+00	-1.339221e+01	-8.111487e+00	-7.187960e+00	-9.235270e-01
149           	-3.135053e+00	-1.334578e+01	-8.111132e+00	-7.190619e+00	-9.205129e-01
150           	-3.137889e+00	-1.329972e+01	-8.110767e+00	-7.193273e+00	-9.174945e-01
151           	-3.140758e+00	-1.325401e+01	-8.110443e+00	-7.195979e+00	-9.144637e-01
152           	-3.143686e+00	-1.320867e+01	-8.110227e+00	-7.198800e+00	-9.114278e-01
153           	-3.146599e+00	-1.316367e+01	-8.110060e+00	-7.201628e+00	-9.084313e-01
154           	-3.149655e+00	-1.311902e+01	-8.110098e+00	-7.204704e+00	-9.053941e-01
155           	-3.156176e+00	-1.307472e+01	-8.106714e+00	-7.209533e+00	-8.971807e-01
156           	-3.158844e+00	-1.303076e+01	-8.107839e+00	-7.212764e+00	-8.950751e-01
157           	-3.161927e+00	-1.298714e+01	-8.107974e+00	-7.215914e+00	-8.920602e-01
158           	-3.164877e+00	-1.294386e+01	-8.108006e+00	-7.218880e+00	-8.891265e-01
159           	-3.167841e+00	-1.290090e+01	-8.108123e+00	-7.221903e+00	-8.862204e-01
160           	-3.170955e+00	-1.285828e+01	-8.108479e+00	-7.225194e+00	-8.832851e-01
161           	-3.174055e+00	-1.281598e+01	-8.108923e+00	-7.228516e+00	-8.804067e-01
162           	-3.177132e+00	-1.277401e+01	-8.109457e+00	-7.231861e+00	-8.775961e-01
163           	-3.180149e+00	-1.273236e+01	-8.109996e+00	-7.235147e+00	-8.748497e-01
164           	-3.183068e+00	-1.269102e+01	-8.110475e+00	-7.238306e+00	-8.721694e-01
165           	-3.185871e+00	-1.265000e+01	-8.110901e+00	-7.241322e+00	-8.695790e-01
166           	-3.188588e+00	-1.260928e+01	-8.111314e+00	-7.244245e+00	-8.670687e-01
167           	-3.191379e+00	-1.256888e+01	-8.111886e+00	-7.247322e+00	-8.645639e-01
168           	-3.194186e+00	-1.252878e+01	-8.112552e+00	-7.250462e+00	-8.620903e-01
169           	-3.197100e+00	-1.248898e+01	-8.113395e+00	-7.253798e+00	-8.595972e-01
170           	-3.199830e+00	-1.244948e+01	-8.114025e+00	-7.256842e+00	-8.571822e-01
171           	-3.202372e+00	-1.241028e+01	-8.114444e+00	-7.259594e+00	-8.548504e-01
172           	-3.204774e+00	-1.237137e+01	-8.114662e+00	-7.262105e+00	-8.525569e-01
173           	-3.207782e+00	-1.233275e+01	-8.115556e+00	-7.265560e+00	-8.499963e-01
174           	-3.211213e+00	-1.229442e+01	-8.116969e+00	-7.269697e+00	-8.472721e-01
175           	-3.214479e+00	-1.225638e+01	-8.118255e+00	-7.273606e+00	-8.446482e-01
176           	-3.217594e+00	-1.221862e+01	-8.119292e+00	-7.277240e+00	-8.420519e-01
177           	-3.220571e+00	-1.218113e+01	-8.120207e+00	-7.280675e+00	-8.395327e-01
178           	-3.223415e+00	-1.214393e+01	-8.121035e+00	-7.283932e+00	-8.371028e-01
179           	-3.226121e+00	-1.210700e+01	-8.121599e+00	-7.286921e+00	-8.346787e-01
180           	-3.228683e+00	-1.207034e+01	-8.121755e+00	-7.289560e+00	-8.321947e-01
181           	-3.231131e+00	-1.203395e+01	-8.121785e+00	-7.292024e+00	-8.297615e-01
182           	-3.233464e+00	-1.199783e+01	-8.121701e+00	-7.294314e+00	-8.273865e-01
183           	-3.235747e+00	-1.196198e+01	-8.121610e+00	-7.296551e+00	-8.250583e-01
184           	-3.237927e+00	-1.192638e+01	-8.121471e+00	-7.298663e+00	-8.228082e-01
185           	-3.240072e+00	-1.189105e+01	-8.121384e+00	-7.300764e+00	-8.206204e-01
186           	-3.242278e+00	-1.185597e+01	-8.121505e+00	-7.303031e+00	-8.184748e-01
187           	-3.244372e+00	-1.182114e+01	-8.121602e+00	-7.305173e+00	-8.164294e-01
188           	-3.246474e+00	-1.178657e+01	-8.121873e+00	-7.307410e+00	-8.144627e-01
189           	-3.248523e+00	-1.175225e+01	-8.122036e+00	-7.309541e+00	-8.124947e-01
190           	-3.250521e+00	-1.171818e+01	-8.122165e+00	-7.311604e+00	-8.105614e-01
191           	-3.252448e+00	-1.168435e+01	-8.122028e+00	-7.313462e+00	-8.085656e-01
192           	-3.254331e+00	-1.165076e+01	-8.121921e+00	-7.315292e+00	-8.066294e-01
193           	-3.256191e+00	-1.161742e+01	-8.121929e+00	-7.317156e+00	-8.047734e-01
194           	-3.258018e+00	-1.158431e+01	-8.122013e+00	-7.319024e+00	-8.029891e-01
195           	-3.259764e+00	-1.155144e+01	-8.121808e+00	-7.320668e+00	-8.011405e-01
196           	-3.261400e+00	-1.151881e+01	-8.120964e+00	-7.321882e+00	-7.990820e-01
197           	-3.262985e+00	-1.148641e+01	-8.119979e+00	-7.322974e+00	-7.970042e-01
198           	-3.264561e+00	-1.145423e+01	-8.119103e+00	-7.324113e+00	-7.949910e-01
199           	-3.266084e+00	-1.142229e+01	-8.118288e+00	-7.325228e+00	-7.930597e-01
200           	-3.267568e+00	-1.139057e+01	-8.117505e+00	-7.326321e+00	-7.911843e-01
201           	-3.269017e+00	-1.135907e+01	-8.116752e+00	-7.327393e+00	-7.893590e-01
202           	-3.270378e+00	-1.132780e+01	-8.115996e+00	-7.328376e+00	-7.876204e-01
203           	-3.271688e+00	-1.129674e+01	-8.115261e+00	-7.329319e+00	-7.859421e-01
204           	-3.272938e+00	-1.126590e+01	-8.114531e+00	-7.330203e+00	-7.843273e-01
205           	-3.274074e+00	-1.123528e+01	-8.113751e+00	-7.330950e+00	-7.828014e-01
206           	-3.275263e+00	-1.120487e+01	-8.113091e+00	-7.331809e+00	-7.812822e-01
