# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
80            	-4.054651e+00	-1.578421e+01	-8.121036e+00	-8.115169e+00	-5.866736e-03
81            	-4.054615e+00	-1.568668e+01	-8.121110e+00	-8.115170e+00	-5.940388e-03
82            	-4.054606e+00	-1.559103e+01	-8.121201e+00	-8.115206e+00	-5.994482e-03
83            	-4.053637e+00	-1.549720e+01	-8.120169e+00	-8.113722e+00	-6.447008e-03
84            	-4.048900e+00	-1.540514e+01	-8.113725e+00	-8.105762e+00	-7.962818e-03
85            	-4.049085e+00	-1.531478e+01	-8.114745e+00	-8.106457e+00	-8.287984e-03
86            	-4.049012e+00	-1.522608e+01	-8.114589e+00	-8.106307e+00	-8.282026e-03
87            	-4.049256e+00	-1.513899e+01	-8.114825e+00	-8.106668e+00	-8.156435e-03
88            	-4.049519e+00	-1.505346e+01	-8.115093e+00	-8.107065e+00	-8.027178e-03
89            	-4.049791e+00	-1.496944e+01	-8.115366e+00	-8.107474e+00	-7.891800e-03
90            	-4.050057e+00	-1.488690e+01	-8.115633e+00	-8.107874e+00	-7.759611e-03
91            	-4.050300e+00	-1.480577e+01	-8.115879e+00	-8.108240e+00	-7.639354e-03
92            	-4.050514e+00	-1.472604e+01	-8.116098e+00	-8.108563e+00	-7.535080e-03
93            	-4.050695e+00	-1.464765e+01	-8.116287e+00	-8.108839e+00	-7.448377e-03
94            	-4.050844e+00	-1.457057e+01	-8.116446e+00	-8.109067e+00	-7.378733e-03
95            	-4.050965e+00	-1.449476e+01	-8.116578e+00	-8.109254e+00	-7.324092e-03
96            	-4.058345e+00	-1.442020e+01	-8.125336e+00	-8.121013e+00	-4.323331e-03
97            	-4.055617e+00	-1.434683e+01	-8.122478e+00	-8.116856e+00	-5.621919e-03
98            	-4.050723e+00	-1.427464e+01	-8.115756e+00	-8.108601e+00	-7.155529e-03
99            	-4.051209e+00	-1.420360e+01	-8.117056e+00	-8.109737e+00	-7.318562e-03
100           	-4.052971e+00	-1.413366e+01	-8.118422e+00	-8.112182e+00	-6.240088e-03
101           	-4.052769e+00	-1.406481e+01	-8.118306e+00	-8.111922e+00	-6.383696e-03
102           	-4.052835e+00	-1.399702e+01	-8.118414e+00	-8.112042e+00	-6.371940e-03
103           	-4.052975e+00	-1.393025e+01	-8.118588e+00	-8.112269e+00	-6.319217e-03
104           	-4.053107e+00	-1.386449e+01	-8.118740e+00	-8.112477e+00	-6.263631e-03
105           	-4.053233e+00	-1.379971e+01	-8.118877e+00	-8.112671e+00	-6.206127e-03
106           	-4.053350e+00	-1.373588e+01	-8.118997e+00	-8.112848e+00	-6.148820e-03
107           	-4.053460e+00	-1.367298e+01	-8.119103e+00	-8.113011e+00	-6.091879e-03
108           	-4.053563e+00	-1.361099e+01	-8.119197e+00	-8.113162e+00	-6.035765e-03
109           	-4.053660e+00	-1.354989e+01	-8.119283e+00	-8.113302e+00	-5.981252e-03
110           	-4.053751e+00	-1.348965e+01	-8.119361e+00	-8.113432e+00	-5.929206e-03
111           	-4.053837e+00	-1.343026e+01	-8.119434e+00	-8.113554e+00	-5.880341e-03
112           	-4.053916e+00	-1.337170e+01	-8.119503e+00	-8.113668e+00	-5.835096e-03
113           	-4.053991e+00	-1.331394e+01	-8.119569e+00	-8.113776e+00	-5.793532e-03
114           	-4.054062e+00	-1.325697e+01	-8.119634e+00	-8.113879e+00	-5.755564e-03
115           	-4.054129e+00	-1.320078e+01	-8.119700e+00	-8.113979e+00	-5.720868e-03
116           	-4.054194e+00	-1.314533e+01	-8.119766e+00	-8.114077e+00	-5.689007e-03
117           	-4.053681e+00	-1.309063e+01	-8.119147e+00	-8.113255e+00	-5.892085e-03
118           	-4.054301e+00	-1.303665e+01	-8.119890e+00	-8.114246e+00	-5.643732e-03
119           	-4.057503e+00	-1.298336e+01	-8.124627e+00	-8.119817e+00	-4.810411e-03
120           	-4.052366e+00	-1.293078e+01	-8.117778e+00	-8.111254e+00	-6.523248e-03
121           	-4.054046e+00	-1.287886e+01	-8.119718e+00	-8.113905e+00	-5.812921e-03
122           	-4.057365e+00	-1.282761e+01	-8.124629e+00	-8.119680e+00	-4.949576e-03
123           	-4.052268e+00	-1.277700e+01	-8.117815e+00	-8.111175e+00	-6.640069e-03
124           	-4.057581e+00	-1.272703e+01	-8.124880e+00	-8.120021e+00	-4.859457e-03
125           	-4.052471e+00	-1.267768e+01	-8.118091e+00	-8.111517e+00	-6.573992e-03
126           	-4.057580e+00	-1.262893e+01	-8.124889e+00	-8.120025e+00	-4.864223e-03
127           	-4.052548e+00	-1.258079e+01	-8.118176e+00	-8.111636e+00	-6.540257e-03
128           	-4.057608e+00	-1.253322e+01	-8.124898e+00	-8.120057e+00	-4.840569e-03
129           	-4.052644e+00	-1.248623e+01	-8.118260e+00	-8.111774e+00	-6.485646e-03
130           	-4.057669e+00	-1.243980e+01	-8.124928e+00	-8.120133e+00	-4.794968e-03
131           	-4.038570e+00	-1.239391e+01	-8.102044e+00	-8.089592e+00	-1.245182e-02
132           	-4.053481e+00	-1.234857e+01	-8.119498e+00	-8.113230e+00	-6.267499e-03
133           	-4.057840e+00	-1.230375e+01	-8.125041e+00	-8.120360e+00	-4.681045e-03
134           	-4.052572e+00	-1.225946e+01	-8.118072e+00	-8.111608e+00	-6.463636e-03
135           	-4.058257e+00	-1.221567e+01	-8.125477e+00	-8.120995e+00	-4.481743e-03
136           	-4.038952e+00	-1.217237e+01	-8.102440e+00	-8.090172e+00	-1.226755e-02
137           	-4.044202e+00	-1.212957e+01	-8.109259e+00	-8.098832e+00	-1.042702e-02
138           	-4.054612e+00	-1.208725e+01	-8.119947e+00	-8.114586e+00	-5.361307e-03
139           	-4.058383e+00	-1.204540e+01	-8.125576e+00	-8.121171e+00	-4.405612e-03
140           	-4.040127e+00	-1.200401e+01	-8.103636e+00	-8.091945e+00	-1.169054e-02
141           	-4.044957e+00	-1.196308e+01	-8.110060e+00	-8.099987e+00	-1.007284e-02
142           	-4.055045e+00	-1.192260e+01	-8.120431e+00	-8.115261e+00	-5.170314e-03
143           	-4.058626e+00	-1.188255e+01	-8.125867e+00	-8.121559e+00	-4.307656e-03
144           	-4.052060e+00	-1.184293e+01	-8.117339e+00	-8.110729e+00	-6.609421e-03
145           	-4.045872e+00	-1.180373e+01	-8.111375e+00	-8.101560e+00	-9.814838e-03
146           	-4.054591e+00	-1.176495e+01	-8.120034e+00	-8.114608e+00	-5.425314e-03
147           	-4.058402e+00	-1.172658e+01	-8.125728e+00	-8.121266e+00	-4.461618e-03
148           	-4.051931e+00	-1.168861e+01	-8.117293e+00	-8.110578e+00	-6.714882e-03
149           	-4.042598e+00	-1.165103e+01	-8.106285e+00	-8.095741e+00	-1.054431e-02
150           	-4.045157e+00	-1.161383e+01	-8.110368e+00	-8.100341e+00	-1.002736e-02
151           	-4.055011e+00	-1.157702e+01	-8.120532e+00	-8.115277e+00	-5.254554e-03
152           	-4.058627e+00	-1.154059e+01	-8.125946e+00	-8.121600e+00	-4.345259e-03
153           	-4.052409e+00	-1.150452e+01	-8.117802e+00	-8.111310e+00	-6.491745e-03
154           	-4.043354e+00	-1.146881e+01	-8.107104e+00	-8.096906e+00	-1.019769e-02
155           	-4.045814e+00	-1.143345e+01	-8.111055e+00	-8.101341e+00	-9.713908e-03
156           	-4.055425e+00	-1.139845e+01	-8.120970e+00	-8.115910e+00	-5.060229e-03
157           	-4.058920e+00	-1.136380e+01	-8.126228e+00	-8.122034e+00	-4.194032e-03
158           	-4.052810e+00	-1.132948e+01	-8.118227e+00	-8.111923e+00	-6.304122e-03
159           	-4.043912e+00	-1.129549e+01	-8.107714e+00	-8.097769e+00	-9.944805e-03
160           	-4.046270e+00	-1.126183e+01	-8.111534e+00	-8.102037e+00	-9.497321e-03
161           	-4.055661e+00	-1.122849e+01	-8.121228e+00	-8.116275e+00	-4.953129e-03
162           	-4.059054e+00	-1.119547e+01	-8.126354e+00	-8.122231e+00	-4.123204e-03
163           	-4.053057e+00	-1.116277e+01	-8.118501e+00	-8.112308e+00	-6.193265e-03
164           	-4.044325e+00	-1.113037e+01	-8.108177e+00	-8.098414e+00	-9.763472e-03
165           	-4.046609e+00	-1.109827e+01	-8.111896e+00	-8.102557e+00	-9.339315e-03
166           	-4.055776e+00	-1.106647e+01	-8.121358e+00	-8.116455e+00	-4.903115e-03
167           	-4.059080e+00	-1.103497e+01	-8.126377e+00	-8.122269e+00	-4.108359e-03
168           	-4.053187e+00	-1.100375e+01	-8.118680e+00	-8.112527e+00	-6.152615e-03
169           	-4.044602e+00	-1.097282e+01	-8.108545e+00	-8.098875e+00	-9.670388e-03
170           	-4.046820e+00	-1.094217e+01	-8.112192e+00	-8.102916e+00	-9.275924e-03
171           	-4.055865e+00	-1.091180e+01	-8.121563e+00	-8.116646e+00	-4.916810e-03
172           	-4.059124e+00	-1.088169e+01	-8.126513e+00	-8.122381e+00	-4.132227e-03
173           	-4.053384e+00	-1.085186e+01	-8.118988e+00	-8.112878e+00	-6.110250e-03
174           	-4.045014e+00	-1.082229e+01	-8.109079e+00	-8.099554e+00	-9.525187e-03
175           	-4.047194e+00	-1.079297e+01	-8.112636e+00	-8.103512e+00	-9.124072e-03
176           	-4.056105e+00	-1.076392e+01	-8.121845e+00	-8.117027e+00	-4.818137e-03
177           	-4.059312e+00	-1.073512e+01	-8.126696e+00	-8.122660e+00	-4.036391e-03
178           	-4.053689e+00	-1.070657e+01	-8.119306e+00	-8.113343e+00	-5.963766e-03
179           	-4.059688e+00	-1.067827e+01	-8.127092e+00	-8.123234e+00	-3.858261e-03
180           	-4.054063e+00	-1.065020e+01	-8.119740e+00	-8.113933e+00	-5.807009e-03
181           	-4.059552e+00	-1.062238e+01	-8.126962e+00	-8.123033e+00	-3.928906e-03
182           	-4.053899e+00	-1.059479e+01	-8.119570e+00	-8.113684e+00	-5.885635e-03
183           	-4.059367e+00	-1.056743e+01	-8.126749e+00	-8.122742e+00	-4.007297e-03
184           	-4.053799e+00	-1.054030e+01	-8.119457e+00	-8.113527e+00	-5.929614e-03
185           	-4.059276e+00	-1.051340e+01	-8.126644e+00	-8.122598e+00	-4.046028e-03
186           	-4.053780e+00	-1.048672e+01	-8.119435e+00	-8.113497e+00	-5.937778e-03
187           	-4.059262e+00	-1.046026e+01	-8.126621e+00	-8.122573e+00	-4.048571e-03
188           	-4.053837e+00	-1.043401e+01	-8.119496e+00	-8.113585e+00	-5.911394e-03
189           	-4.059309e+00	-1.040798e+01	-8.126667e+00	-8.122643e+00	-4.024130e-03
190           	-4.053938e+00	-1.038216e+01	-8.119608e+00	-8.113743e+00	-5.865573e-03
191           	-4.059387e+00	-1.035654e+01	-8.126746e+00	-8.122760e+00	-3.986307e-03
192           	-4.054058e+00	-1.033114e+01	-8.119740e+00	-8.113928e+00	-5.812230e-03
193           	-4.059448e+00	-1.030593e+01	-8.126808e+00	-8.122852e+00	-3.956186e-03
194           	-4.054112e+00	-1.028092e+01	-8.119801e+00	-8.114013e+00	-5.788152e-03
195           	-4.059462e+00	-1.025612e+01	-8.126831e+00	-8.122878e+00	-3.953097e-03
196           	-4.054180e+00	-1.023150e+01	-8.119909e+00	-8.114135e+00	-5.774568e-03
197           	-4.059479e+00	-1.020708e+01	-8.126887e+00	-8.122923e+00	-3.963863e-03
198           	-4.054242e+00	-1.018285e+01	-8.120020e+00	-8.114252e+00	-5.768150e-03
199           	-4.059514e+00	-1.015880e+01	-8.126954e+00	-8.122991e+00	-3.962391e-03
200           	-4.054323e+00	-1.013494e+01	-8.120135e+00	-8.114391e+00	-5.744268e-03
201           	-4.059567e+00	-1.011126e+01	-8.127020e+00	-8.123077e+00	-3.942796e-03
202           	-4.054418e+00	-1.008776e+01	-8.120245e+00	-8.114541e+00	-5.704099e-03
203           	-4.059630e+00	-1.006444e+01	-8.127080e+00	-8.123170e+00	-3.910469e-03
204           	-4.054519e+00	-1.004130e+01	-8.120349e+00	-8.114694e+00	-5.655100e-03
205           	-4.059695e+00	-1.001833e+01	-8.127136e+00	-8.123262e+00	-3.873239e-03
206           	-4.054619e+00	-9.995529e+00	-8.120448e+00	-8.114843e+00	-5.604483e-03
207           	-4.059279e+00	-9.972899e+00	-8.126607e+00	-8.122582e+00	-4.024376e-03
208           	-4.054879e+00	-9.950435e+00	-8.120685e+00	-8.115221e+00	-5.463888e-03
209           	-4.059330e+00	-9.928137e+00	-8.126661e+00	-8.122660e+00	-4.000911e-03
210           	-4.054959e+00	-9.906001e+00	-8.120771e+00	-8.115345e+00	-5.426176e-03
211           	-4.056839e+00	-9.884028e+00	-8.122674e+00	-8.118176e+00	-4.498369e-03
212           	-4.059049e+00	-9.862212e+00	-8.126399e+00	-8.122248e+00	-4.150361e-03
213           	-4.055028e+00	-9.840555e+00	-8.120837e+00	-8.115446e+00	-5.391170e-03
214           	-4.057002e+00	-9.819053e+00	-8.122861e+00	-8.118433e+00	-4.428826e-03
215           	-4.056180e+00	-9.797705e+00	-8.121890e+00	-8.117125e+00	-4.765138e-03
216           	-4.059869e+00	-9.776508e+00	-8.127362e+00	-8.123550e+00	-3.811902e-03
217           	-4.055076e+00	-9.755460e+00	-8.120949e+00	-8.115550e+00	-5.398468e-03
218           	-4.057212e+00	-9.734562e+00	-8.123100e+00	-8.118763e+00	-4.337617e-03
219           	-4.056365e+00	-9.713810e+00	-8.122103e+00	-8.117417e+00	-4.686458e-03
220           	-4.059459e+00	-9.693202e+00	-8.126834e+00	-8.122876e+00	-3.958483e-03
221           	-4.055429e+00	-9.672738e+00	-8.121301e+00	-8.116080e+00	-5.220972e-03
222           	-4.057323e+00	-9.652416e+00	-8.123239e+00	-8.118943e+00	-4.295977e-03
223           	-4.056484e+00	-9.632233e+00	-8.122252e+00	-8.117610e+00	-4.642176e-03
224           	-4.059486e+00	-9.612187e+00	-8.126864e+00	-8.122918e+00	-3.945761e-03
225           	-4.055487e+00	-9.592279e+00	-8.121380e+00	-8.116177e+00	-5.202946e-03
226           	-4.057329e+00	-9.572507e+00	-8.123278e+00	-8.118968e+00	-4.309794e-03
227           	-4.056510e+00	-9.552867e+00	-8.122331e+00	-8.117676e+00	-4.655726e-03
228           	-4.056771e+00	-9.533360e+00	-8.122643e+00	-8.118093e+00	-4.550341e-03
229           	-4.056667e+00	-9.513984e+00	-8.122530e+00	-8.117932e+00	-4.597448e-03
230           	-4.056762e+00	-9.494737e+00	-8.122643e+00	-8.118083e+00	-4.559434e-03
231           	-4.056792e+00	-9.475618e+00	-8.122679e+00	-8.118132e+00	-4.546980e-03
232           	-4.056856e+00	-9.456625e+00	-8.122751e+00	-8.118232e+00	-4.519406e-03
233           	-4.056905e+00	-9.437757e+00	-8.122804e+00	-8.118307e+00	-4.497446e-03
234           	-4.056954e+00	-9.419013e+00	-8.122858e+00	-8.118383e+00	-4.474479e-03
235           	-4.056997e+00	-9.400391e+00	-8.122903e+00	-8.118448e+00	-4.454419e-03
236           	-4.057035e+00	-9.381891e+00	-8.122943e+00	-8.118507e+00	-4.436096e-03
237           	-4.057069e+00	-9.363510e+00	-8.122978e+00	-8.118558e+00	-4.419982e-03
238           	-4.057100e+00	-9.345247e+00	-8.123010e+00	-8.118605e+00	-4.405530e-03
239           	-4.057127e+00	-9.327102e+00	-8.123040e+00	-8.118647e+00	-4.392495e-03
240           	-4.057153e+00	-9.309073e+00	-8.123068e+00	-8.118687e+00	-4.380465e-03
241           	-4.057179e+00	-9.291158e+00	-8.123095e+00	-8.118726e+00	-4.369117e-03
242           	-4.057203e+00	-9.273357e+00	-8.123123e+00	-8.118765e+00	-4.358162e-03
243           	-4.057228e+00	-9.255668e+00	-8.123151e+00	-8.118804e+00	-4.347388e-03
244           	-4.057253e+00	-9.238091e+00	-8.123180e+00	-8.118843e+00	-4.336657e-03
245           	-4.057278e+00	-9.220623e+00	-8.123209e+00	-8.118883e+00	-4.325898e-03
246           	-4.057304e+00	-9.203264e+00	-8.123238e+00	-8.118923e+00	-4.315088e-03
247           	-4.057330e+00	-9.186013e+00	-8.123268e+00	-8.118963e+00	-4.304244e-03
248           	-4.057355e+00	-9.168869e+00	-8.123297e+00	-8.119004e+00	-4.293406e-03
249           	-4.057381e+00	-9.151830e+00	-8.123327e+00	-8.119044e+00	-4.282632e-03
250           	-4.057406e+00	-9.134896e+00	-8.123356e+00	-8.119084e+00	-4.271975e-03
251           	-4.057431e+00	-9.118065e+00	-8.123384e+00	-8.119123e+00	-4.261451e-03
252           	-4.057455e+00	-9.101336e+00	-8.123413e+00	-8.119162e+00	-4.251092e-03
253           	-4.057479e+00	-9.084709e+00	-8.123441e+00	-8.119200e+00	-4.240900e-03
254           	-4.057503e+00	-9.068182e+00	-8.123468e+00	-8.119237e+00	-4.230898e-03
255           	-4.057518e+00	-9.051755e+00	-8.123486e+00	-8.119261e+00	-4.224791e-03
256           	-4.057515e+00	-9.035426e+00	-8.123484e+00	-8.119257e+00	-4.226663e-03
257           	-4.057525e+00	-9.019194e+00	-8.123500e+00	-8.119275e+00	-4.224834e-03
258           	-4.057529e+00	-9.003058e+00	-8.123516e+00	-8.119287e+00	-4.229040e-03
259           	-4.057538e+00	-8.987018e+00	-8.123541e+00	-8.119308e+00	-4.232538e-03
260           	-4.057552e+00	-8.971073e+00	-8.123571e+00	-8.119337e+00	-4.233692e-03
261           	-4.057571e+00	-8.955221e+00	-8.123604e+00	-8.119373e+00	-4.231441e-03
262           	-4.057594e+00	-8.939462e+00	-8.123639e+00	-8.119413e+00	-4.225666e-03
263           	-4.057620e+00	-8.923794e+00	-8.123674e+00	-8.119457e+00	-4.216664e-03
264           	-4.057649e+00	-8.908218e+00	-8.123708e+00	-8.119503e+00	-4.205158e-03
265           	-4.057678e+00	-8.892732e+00	-8.123741e+00	-8.119549e+00	-4.191944e-03
266           	-4.057708e+00	-8.877335e+00	-8.123772e+00	-8.119594e+00	-4.177793e-03
267           	-4.057738e+00	-8.862026e+00	-8.123803e+00	-8.119639e+00	-4.163344e-03
268           	-4.057767e+00	-8.846805e+00	-8.123832e+00	-8.119683e+00	-4.149095e-03
269           	-4.057795e+00	-8.831670e+00	-8.123860e+00	-8.119725e+00	-4.135352e-03
270           	-4.057821e+00	-8.816622e+00	-8.123887e+00	-8.119765e+00	-4.122290e-03
271           	-4.057847e+00	-8.801658e+00	-8.123914e+00	-8.119804e+00	-4.109984e-03
272           	-4.057872e+00	-8.786779e+00	-8.123940e+00	-8.119842e+00	-4.098426e-03
273           	-4.057895e+00	-8.771984e+00	-8.123966e+00	-8.119878e+00	-4.087542e-03
274           	-4.057919e+00	-8.757271e+00	-8.123991e+00	-8.119914e+00	-4.077229e-03
275           	-4.057941e+00	-8.742640e+00	-8.124017e+00	-8.119949e+00	-4.067369e-03
276           	-4.057963e+00	-8.728090e+00	-8.124042e+00	-8.119984e+00	-4.057852e-03
